COUP0000,default,default
COUP0001,rhosnir,min
COUP0003,z0mr,min
COUP0004,z0mr,max
COUP0005,zsno,min
COUP0006,zsno,max
COUP0007,d_max,min
COUP0008,d_max,max
COUP0009,frac_sat_soil_dsl_init,min
COUP0010,frac_sat_soil_dsl_init,max
COUP0011,zetamaxstable,min
COUP0012,zetamaxstable,max
COUP0013,maximum_leaf_wetted_fraction,min
COUP0014,maximum_leaf_wetted_fraction,max
COUP0015,fff,min
COUP0016,fff,max
COUP0017,upplim_destruct_metamorph,min
COUP0018,upplim_destruct_metamorph,max
COUP0019,medlynslope,max
COUP0020,medlynintercept,min
COUP0021,tpu25ratio,min
COUP0022,tpu25ratio,max
COUP0023,jmaxb0,max
COUP0024,jmaxb1,min
COUP0025,jmaxb1,max
COUP0026,kmax,min
COUP0027,kmax,max
COUP0028,nstem,min
COUP0029,nstem,max
COUP0030,lmrha,min
COUP0031,lmrha,max
COUP0032,medlynslope,min
COUP0033,jmaxb0,min
COUP0034,medlynintercept,max
COUP0035,sand_pf,min
COUP0036,sand_pf,max
COUP0037,rhosnir,max
